,DAY365,DATE,Max Temperature (C),Min Temperature (C),Mean Temperature (C),above_pct,HW
271,272,2020-09-29,,,,0,0
272,273,2020-09-30,,,,0,0
273,274,2020-10-01,,,,0,0
274,275,2020-10-02,,,,0,0
275,276,2020-10-03,,,,0,0
276,277,2020-10-04,,,,0,0
277,278,2020-10-05,,,,0,0
278,279,2020-10-06,,,,0,0
279,280,2020-10-07,,,,0,0
280,281,2020-10-08,,,,0,0
281,282,2020-10-09,,,,0,0
282,283,2020-10-10,,,,0,0
283,284,2020-10-11,,,,0,0
284,285,2020-10-12,,,,0,0
285,286,2020-10-13,,,,0,0
286,287,2020-10-14,,,,0,0
287,288,2020-10-15,,,,0,0
288,289,2020-10-16,,,,0,0
289,290,2020-10-17,,,,0,0
290,291,2020-10-18,,,,0,0
291,292,2020-10-19,,,,0,0
292,293,2020-10-20,,,,0,0
293,294,2020-10-21,,,,0,0
294,295,2020-10-22,,,,0,0
295,296,2020-10-23,,,,0,0
296,297,2020-10-24,,,,0,0
297,298,2020-10-25,,,,0,0
298,299,2020-10-26,,,,0,0
299,300,2020-10-27,,,,0,0
300,301,2020-10-28,,,,0,0
301,302,2020-10-29,,,,0,0
302,303,2020-10-30,,,,0,0
303,304,2020-10-31,,,,0,0
304,305,2020-11-01,,,,0,0
305,306,2020-11-02,,,,0,0
306,307,2020-11-03,,,,0,0
307,308,2020-11-04,,,,0,0
308,309,2020-11-05,,,,0,0
309,310,2020-11-06,,,,0,0
310,311,2020-11-07,,,,0,0
311,312,2020-11-08,,,,0,0
312,313,2020-11-09,,,,0,0
313,314,2020-11-10,,,,0,0
314,315,2020-11-11,,,,0,0
315,316,2020-11-12,,,,0,0
316,317,2020-11-13,,,,0,0
317,318,2020-11-14,,,,0,0
318,319,2020-11-15,,,,0,0
319,320,2020-11-16,,,,0,0
320,321,2020-11-17,,,,0,0
321,322,2020-11-18,,,,0,0
322,323,2020-11-19,,,,0,0
323,324,2020-11-20,,,,0,0
324,325,2020-11-21,,,,0,0
325,326,2020-11-22,,,,0,0
326,327,2020-11-23,,,,0,0
327,328,2020-11-24,,,,0,0
328,329,2020-11-25,,,,0,0
329,330,2020-11-26,,,,0,0
330,331,2020-11-27,,,,0,0
331,332,2020-11-28,,,,0,0
332,333,2020-11-29,,,,0,0
333,334,2020-11-30,,,,0,0
334,335,2020-12-01,,,,0,0
335,336,2020-12-02,,,,0,0
336,337,2020-12-03,,,,0,0
337,338,2020-12-04,,,,0,0
338,339,2020-12-05,,,,0,0
339,340,2020-12-06,,,,0,0
340,341,2020-12-07,,,,0,0
341,342,2020-12-08,,,,0,0
342,343,2020-12-09,,,,0,0
343,344,2020-12-10,,,,0,0
344,345,2020-12-11,,,,0,0
345,346,2020-12-12,,,,0,0
346,347,2020-12-13,,,,0,0
347,348,2020-12-14,,,,0,0
348,349,2020-12-15,,,,0,0
349,350,2020-12-16,,,,0,0
350,351,2020-12-17,,,,0,0
351,352,2020-12-18,,,,0,0
352,353,2020-12-19,,,,0,0
353,354,2020-12-20,,,,0,0
354,355,2020-12-21,,,,0,0
355,356,2020-12-22,,,,0,0
356,357,2020-12-23,,,,0,0
357,358,2020-12-24,,,,0,0
358,359,2020-12-25,,,,0,0
359,360,2020-12-26,,,,0,0
360,361,2020-12-27,,,,0,0
361,362,2020-12-28,,,,0,0
362,363,2020-12-29,,,,0,0
363,364,2020-12-30,,,,0,0
364,365,2020-12-31,,,,0,0
